obj,en,ch
1,0.00563032904624,0.012686219983561
2,0.004046799001985,0.005766463628891
3,0.007194309336862,0.012686219983561
4,0.009249826290251,0.007462482343271
5,0.021582928010586,0.021143699972602
6,0.010791464005293,0.005766463628891
7,0.009961351389501,0.008457479989041
8,0.006474878403176,0.006041057135029
9,0.043165856021171,0.007047899990867
10,0.010791464005293,0.006041057135029
11,0.00809359800397,0.015857774979451
12,0.004796206224575,0.007047899990867
13,0.009249826290251,0.006676957886085
14,0.009249826290251,0.009061585702544
15,0.004980675694751,0.007928887489726
16,0.007617504003736,0.007462482343271
17,0.007194309336862,0.008457479989041
18,0.005179902722541,0.006343109991781
19,0.043165856021171,0.031715549958903
20,0.016187196007939,0.063431099917806
21,0.0044654333815,0.00528592499315
22,0.004624913145125,0.008457479989041
23,0.00563032904624,0.007047899990867
24,0.007194309336862,0.006343109991781
25,0.064748784031757,0.031715549958903
26,0.004177340905275,0.004879315378293
27,0.025899513612703,0.025372439967122
28,0.005886253093796,0.007462482343271
29,0.025899513612703,0.012686219983561
30,0.012949756806351,0.021143699972602
31,0.00809359800397,0.008457479989041
32,0.005179902722541,0.126862199835611
33,0.010791464005293,0.009758630756585
34,0.064748784031757,0.021143699972602
35,0.004980675694751,0.00551574781894
36,0.021582928010586,0.018123171405087
37,0.007194309336862,0.014095799981735
38,0.043165856021171,0.025372439967122
39,0.004796206224575,0.011532927257783
40,0.0044654333815,0.00551574781894
41,0.004316585602117,0.006041057135029
42,0.006166550860167,0.006676957886085
43,0.011772506187592,0.011532927257783
44,0.009961351389501,0.012686219983561
45,0.008633171204234,0.015857774979451
46,0.00563032904624,0.042287399945204
47,0.005395732002646,0.009061585702544
48,0.018499652580502,0.015857774979451
49,0.032374392015878,0.005074487993424
50,0.011772506187592,0.063431099917806
51,0.004316585602117,0.010571849986301
52,0.0044654333815,0.006041057135029
53,0.006815661477027,0.008457479989041
54,0.006166550860167,0.015857774979451
55,0.064748784031757,0.008457479989041
56,0.064748784031757,0.031715549958903
57,0.014388618673724,0.031715549958903
58,0.004624913145125,0.015857774979451
59,0.004624913145125,0.006676957886085
60,0.129497568063513,0.042287399945204
